Ciliated_cells;Cilia_p_value;Club_cells;Club_p_value;Endothelial_Cells;Endothelial_p_value;Epithelial_AT1_ME18.5;Epithelial_AT1_ME18.5_p_value;Epithelial_AT2;Epithelial_AT2_p_value;Lipo_Fibroblast;Lipo_Fibroblast_p_value;Matrix_Fibroblast;Matrix_Fibroblast_p_value;Myeloid_Immune Cells_ME18.5;Myeloid_Immune Cells_ME18.5_p_value;MyoFibroblast_ME18.5;MyoFibroblast_ME18.5_p_value
Meig1;0;Cited1;0;Cdh5;0.000001;Msln;0;Il33;0;Shisa2;0;Mfsd9;0.000001;AI607873;0;Myocd;0
Mks1;0;Gabrp;0;Ets1;0.000001;S100a14;0;Pla2g1b;0;Aars2;0.000001;Cpxm1;0.000001;Aim1;0;Insc;0.000001
Mlf1;0;Gm16845;0;Cd34;0.000001;Sema3b;0;S100g;0;Kcnk13;0.000001;E130311K13Rik;0.000001;Bin2;0;Smpx;0.000001
Morn5;0;Gsta3;0;Mmrn2;0.000003;Tekt5;0;Tspan11;0;Aspg;0.000001;Aldh1l1;0.000005;C1qa;0;Ntn4;0.000001
Myb;0;Kcnk2;0;Cd93;0.000004;Clic5;0;Acoxl;0;Ppp1r3f;0.000001;Gm14403;0.000018;Fmnl1;0;Nrgn;0.000001
Nek11;0;1810044D09Rik;0;Col4a2;0.000004;Col4a3;0;Atp6v1c2;0;Col12a1;0.000002;Plekhf1;0.000025;Gpsm3;0;Ldb3;0.000001
Nphp1;0;Atp13a4;0;BC028528;0.000005;Dapk2;0;Cela1;0;D330050I16Rik;0.000003;Terf2ip;0.000052;Hcls1;0;Kcnk3;0.000001
Nudt11;0;Kptn;0;C920021L13Rik;0.000006;Edn3;0;Sftpb;0.000001;Col25a1;0.000027;Fez1;0.000055;Il18;0;Kcne1l;0.000001
Odf3b;0;Krt15;0;Clec14a;0.000007;Emp2;0;Ros1;0.000001;Fancc;0.000033;Abca8a;0.000055;Metrnl;0;Jph1;0.000001
Oscp1;0;Lrrc26;0;Ppp1r16b;0.000008;Fxyd4;0.000001;Dlk1;0.000001;Thg1l;0.000044;Gpsm2;0.000055;Pnpla7;0;Ebf4;0.000001
Otud1;0;Lypd2;0;Pecam1;0.000013;Igfbp6;0.000001;Camsap3;0.000001;Slc52a2;0.000055;Sult5a1;0.000066;Siglec1;0;Clhc1;0.000001
Pcyt1b;0;Megf6;0;Mest;0.000015;Ager;0.000002;Snx7;0.000001;Hebp1;0.000055;Chpf;0.000066;Slc15a3;0;Asb2;0.000001
Pgc;0;Noxa1;0;Rasip1;0.000017;Nbeal2;0.000002;Syngr1;0.000001;Lipe;0.000055;Hic1;0.000079;Cd200r1;0;Adamts14;0.000001
Pifo;0;Tmem14a;0;Gpihbp1;0.000026;Scnn1b;0.000002;Pcsk6;0.000001;Thap2;0.000061;Mfap5;0.000079;Cd68;0;Hlf;0.000002
Pih1d2;0;Tmem40;0;Gimap6;0.000026;Sema3a;0.000002;Cd164l2;0.000001;Zfp953;0.000079;Mnd1-ps;0.000079;Dock2;0;Evc;0.000002
Pih1d3;0;Upk1a;0;Erg;0.000034;Akap5;0.000002;Ctnnal1;0.000001;Meox2;0.000089;Relb;0.000079;Spi1;0;Crispld2;0.000008
Stk33;0;Upk3a;0;Emcn;0.000036;Aqp5;0.000002;Itga9;0.000001;Acss3;0.000095;Adamtsl2;0.000097;Trpv2;0;Tiam2;0.000015
Tcp11;0;Zfp296;0.000001;Cldn5;0.000039;Rtkn2;0.000002;Bex2;0.000001;Slc36a2;0.00011;Mier2;0.000106;Pld4;0.000001;Sep.05;0.000043
Tekt1;0;Mir3064;0.000001;Ahr;0.000042;Gprc5a;0.000003;Abca13;0.000001;Mansc4;0.000111;Mnd1;0.000111;Rassf5;0.000001;Myc;0.000055
Tekt2;0;Clec11a;0.000001;Fli1;0.000042;Tmem37;0.000003;6330416G13Rik;0.000002;Mvk;0.000111;Oplah;0.000134;Cd53;0.000001;Notum;0.000055
Tekt4;0;Cnga2;0.000001;Egfl7;0.000049;Pdpn;0.000004;Egfl6;0.000002;Dpt;0.000132;Ptgis;0.000163;Slc36a1;0.000001;Greb1;0.000055
Tex26;0;Crb1;0.000001;S1pr1;0.000049;Wdr45;0.000004;Lyz1;0.000003;Macf1;0.000165;Plac9b;0.000285;Tifab;0.000001;Prelp;0.000055
Tmem25;0;Tnnc1;0.000001;Rasgrp3;0.000054;Tinagl1;0.000004;Lpcat1;0.000003;Enpep;0.000271;Sfrp1;0.000316;Pilra;0.000001;Abat;0.000055
Tmem67;0;Steap1;0.000001;Fgd5;0.000054;Myh14;0.000005;Etv5;0.000003;Rras2;0.000283;Ramp3;0.000454;Bcl2a1a;0.000001;Ifitm10;0.000055
Tnn;0;Fbxl19;0.000001;Ptprb;0.000063;Vegfa;0.000005;Zfp385b;0.000004;Chst15;0.000345;Fam19a5;0.000454;Btk;0.000001;Adam33;0.000055
Tnni3;0;Galnt5;0.000001;Sox7;0.000067;2200002D01Rik;0.000005;Meg3;0.000005;Hoxb3;0.00035;Serpina3n;0.000454;Itgb2;0.000001;Pdlim3;0.000055
Tomm20l;0;Gm13710;0.000001;Jam2;0.000073;Wnt3a;0.000005;Lamp3;0.000005;Kctd5;0.00035;Sncg;0.000454;Pik3ap1;0.000001;Cap2;0.000055
Traf1;0;Gpx2;0.000001;Tmem100;0.000084;Ddc;0.000005;Car8;0.000005;Slc46a2;0.000454;Snord35a;0.000454;Arhgap9;0.000001;Ckb;0.000066
Ttc12;0;Gria1;0.000001;Tie1;0.000085;Rgcc;0.000006;Slc34a2;0.000006;Xlr4a;0.000454;Sorcs3;0.000454;Cfp;0.000002;Ntsr2;0.000079
Ttc18;0;Grin2d;0.000001;Snrk;0.000092;Prkag3;0.000006;Scd1;0.000006;Vstm2a;0.000454;Stard6;0.000454;Bcl2a1d;0.000002;Aoc3;0.000079
Ttc21a;0;Spdef;0.000001;Gimap4;0.000098;Col4a4;0.000006;Dram1;0.000006;Xrcc2;0.000454;Stfa2;0.000454;Myo1f;0.000002;Ddr2;0.000114
Ttc25;0;Snora26;0.000001;Lphn2;0.00011;Krt7;0.000007;Nipal1;0.000006;Slc47a1;0.000454;Stfa2l1;0.000454;Mpeg1;0.000002;Bbs7;0.000135
Ttc36;0;1700018L02Rik;0.000001;Ly6a;0.000124;Lmo7;0.000007;Sftpa1;0.000006;Sprtn;0.000454;Fgf14;0.000454;Gm8615;0.000002;6330549D23Rik;0.000163
Ttll6;0;1810064F22Rik;0.000001;Esam;0.000127;Clasrp;0.000008;Cxcl15;0.000007;Tmem233;0.000454;Gareml;0.000454;Sash3;0.000003;Dido1;0.000308
Ubxn10;0;Slc16a11;0.000001;Aplnr;0.000141;Cryab;0.000008;Abca3;0.000007;Zscan2;0.000454;Gbgt1;0.000454;Ccl6;0.000003;Zhx3;0.000316
