Plasma Cells,Macrophages,AT2 Cells,Club Cells,B Cells,T/NKT Cells,Monocytes,Dendritic Cells,Basal Cells,Mast Cells,Endothelial/Lymphatic Cells,Fibroblasts,AT1 Cells,Ciliated Cells
IGKC,APOC1,SFTPC,SCGB1A1,MS4A1,CCL5,S100A8,CCL17,S100A2,TPSB2,SPARCL1,A2M,AGER,CAPS
IGLC2,C1QB,SFTPA1,SCGB3A1,LTB,IL32,S100A9,S100B,KRT15,TPSAB1,CCL21,DCN,CAV1,C9orf24
IGHG3,FABP4,SFTPA2,SCGB3A2,CD79A,GNLY,FCN1,HLA-DPB1,KRT17,CPA3,CLDN5,MGP,EMP2,TPPP3
IGHG4,C1QA,PGC,BPIFB1,CD79B,NKG7,S100A12,RGS1,MMP1,MS4A2,VWF,COL1A2,NTM,C20orf85
IGLC3,APOE,NAPSA,MMP7,AL928768.3,CCL4,VCAN,MS4A6A,KRT5,KIT,IGFBP7,COL3A1,CEACAM6,TMEM190
IGHG1,CCL18,SFTPB,WFDC2,CXCR4,TRAC,IL1R2,HLA-DPA1,AQP3,RGS1,MGP,ACTA2,KRT7,FAM183A
IGHA1,INHBA,SFTA2,CEACAM6,CORO1A,KLRB1,TIMP1,HLA-DQA1,KRT19,HPGDS,TIMP3,CALD1,GPRC5A,C1orf194
JCHAIN,ACP5,SLPI,PIGR,BANK1,CD3D,LST1,HLA-DQB1,PERP,RGS2,ACKR1,COL1A1,ADIRF,RSPH1
IGHM,TYROBP,SFTPD,MSMB,LIMD2,CD2,CORO1A,RNASE6,MMP7,GATA2,GNG11,MYL9,SPOCK2,DNAAF1
IGHA2,CTSD,SLC34A2,LCN2,VPREB3,LTB,CD14,FAM26F,FXYD3,RGS13,MT1M,TPM2,SCEL,TSPAN1
IGHGP,MS4A7,HOPX,SAA1,RP5-887A10.1,CD7,AIF1,RGS10,IGFBP6,LTC4S,EPAS1,SPARCL1,KRT19,CD24
IGLC7,ALOX5AP,PEBP4,MGP,RCSD1,TRBC2,CFP,HLA-DRB1,DST,CD69,CLU,IGFBP5,MYL9,CETN2
MZB1,C1QC,MGST1,SOX4,IGHE,GZMB,LYZ,HLA-DRA,TACSTD2,C1orf186,CTGF,LUM,CAV2,LRRIQ1
IGHG2,CD68,LRRK2,GPRC5A,POU2F2,CORO1A,SRGN,GPR183,ADIRF,VWA5A,FAM107A,IGFBP7,CD55,C5orf49
IGLL5,MARCO,LAMP3,FMO2,SELL,IL7R,RGS2,PKIB,IGFBP2,IL1RL1,TCF4,CCDC80,C19orf33,CCDC170
SSR4,CD52,MUC1,FXYD3,CD48,TRBC1,FPR1,CD74,ITGA2,SLC18A2,PRSS23,TIMP3,ANKRD1,SNTN
HERPUD1,MSR1,CXCL17,TMEM45A,IGHV3-30,GZMA,MNDA,FCER1A,CD24,RP11-354E11.2,RAMP2,COL6A2,TSPAN13,OMG
FKBP11,GPNMB,CTSH,TACSTD2,STAG3,CD3E,COTL1,FGL2,HMGB3,PNMT,EMP1,PTGDS,LMO7,DYNLRB2
XBP1,FTL,LPCAT1,CYB5A,ADAM28,CST7,FGL2,CLEC10A,IGFBP7,SLC26A2,POSTN,SPARC,TACSTD2,MORN2
CD79A,MRC1,FGGY,SLPI,LINC00926,CD3G,S100A4,CST3,SDC1,PTGS1,CALCRL,FBLN1,CYP4B1,CCDC146
IGKV1-12,VIM,SFTA3,RNASE1,TNFRSF13B,AC092580.4,C10orf54,AIF1,SYT8,FLJ21408,EGFL7,ADH1B,RTKN2,PIFO
DERL3,FBP1,PLA2G1B,S100A2,CD27,CXCR4,TYMP,CD1E,CLDN1,HDC,MT2A,BGN,RAB11FIP1,C9orf116
RGS1,OLR1,S100A14,KLK11,BLK,ETS1,LILRB2,HERPUD1,TNC,GRAP2,PECAM1,RARRES2,TIMP3,C12orf75
PIM2,MCEMP1,ABCA3,CP,ACAP1,PTPRC,THBS1,CSF2RA,PTPRZ1,CNRIP1,IFI27,COL6A1,HOPX,MS4A8
ITM2C,FCER1G,C8orf4,ZFP36L1,TNFRSF13C,LCK,MPEG1,CST7,BCAM,MAOB,CD93,MYH11,CLIC5,DNAH12
HSP90B1,FTH1,TACC2,CTSE,FCRLA,CTSW,RP11-1143G9.4,LST1,LAMB3,RHOH,ID1,PPP1R14A,CLDN18,TMC5
PRDX4,GRN,WIF1,AGR2,RALGPS2,DDIT4,IFITM2,CORO1A,TP63,TESPA1,MMRN1,C1S,TNNC1,CDHR3
SEC11C,VSIG4,CXCL2,CLU,CLECL1,PRF1,AP1S2,SRGN,ITGB4,IL18R1,CAV1,FSTL1,GJA1,MRPS31
IGLC6,CTSB,SDR16C5,CCND1,RP11-693J15.5,KLRD1,CTSS,CKLF,COL17A1,TPSD1,TM4SF1,PLA2G2A,ANXA3,C11orf88
PRDM1,GCHFR,AK1,C19orf33,CD22,HCST,APOBEC3A,HLA-DMB,DSP,PTPN7,CRIP2,COL6A3,ICAM1,EFHC1
ISG20,LYZ,C4BPA,CYP4B1,HLA-DOB,BTG1,CD48,CSF1R,COL7A1,AC004791.2,AKAP12,INMT,TAGLN,ERICH3
IGKV4-1,GLUL,SDC4,EZR,SPIB,ARHGDIB,GAPDH,FCGR2B,CHST9,GCSAML,GPX3,MMP2,CTGF,RP11-295M3.4
IGLV6-57,FN1,FASN,MDK,CD19,RAC2,MS4A6A,MEF2C,ALDH3A1,CDK15,PTPRB,C7,ANOS1,FAM229B
CD27,HLA-DRA,MALL,ELF3,IGLC3,GZMH,VAMP5,HLA-DMA,SERPINF1,KRT1,PCAT19,MYLK,KRT18,SMIM22
IGLV3-1,LGALS3,SEPP1,SDC1,FCMR,GIMAP7,FYB,JAML,FHL2,FCER1A,HSPG2,CRISPLD2,SUSD2,DNAH5
DNAJB9,SPP1,CYB5A,SAA2,CPNE5,ISG20,EMP3,LSP1,RPLP1,ITM2A,AQP1,MFAP4,WFS1,CCDC78
SPCS2,PSAP,TFPI,CXCL1,TRAF3IP3,HLA-A,CYBA,RGS2,C9orf3,TNFRSF4,ADAMTS1,AEBP1,CYR61,TUBB4B
SELK,SNX10,DHCR24,HES1,AIM2,CD48,CFD,RNASET2,DSC3,WNK3,IFITM3,PLAC9,RNASE1,CFAP157
FCRL5,LAPTM5,CLDN18,MUC5B,IKZF3,CD247,FAM65B,FCGBP,GPC1,SLC45A3,CALD1,C1R,NEDD9,FOXJ1
CPNE5,HLA-DRB1,PEG10,AQP5,TMEM156,LIMD2,TNFRSF1B,CD1C,SRGAP3,CALB2,FCN3,PRELP,SLC39A8,ODF3B
POU2AF1,CTSL,MFSD2A,AGR3,CD1C,ACAP1,RNASE2,HLA-DQB2,FGFR3,TMEM233,SLCO2A1,ELN,DSTN,CEP126
IGKV1-39,CTSC,HHIP,CLIC6,POU2AF1,IL2RG,CD300E,TMEM176B,TINAGL1,LAX1,C10orf10,NBL1,VEGFA,AC013264.2
TNFRSF17,HLA-DQA1,C16orf89,CXCL17,CCR7,FYN,NAMPT,CXCR4,IL33,FAM212A,PTRF,IGFBP6,CLIC3,TUBA1A
FAM46C,S100A11,RNASE1,KRT19,P2RX5,TNFRSF4,ITGB2,SERPINB9,MEG3,STXBP6,SLC9A3R2,MT1M,AQP4,ODF2L
ST6GAL1,CAPG,MACROD2,ATP1B1,PAX5,CLEC2D,MAFB,COTL1,MMP10,KLRG1,ADAMTS9,SCN7A,FXYD3,RP11-356K23.1
JSRP1,TSPO,PIGR,RNF145,TLR10,GPR171,ACTB,IL1R2,CROT,SVOPL,ID3,PRG4,GGTLC1,FAM216B
CRELD2,LGALS1,SOD3,NKX2-1,SIT1,SPOCK2,PTPRC,HCLS1,SERPINB3,RP11-557H15.4,ENG,SERPINE1,FSTL3,CFAP43
IGKV3-20,IFI6,NPC2,ERBB3,IGHD,PRDM1,TNFSF13B,LGALS2,KRT6A,NTRK1,A2M,CRYAB,KRT8,DYNLL1
SLAMF7,CD74,C11orf96,MUC1,KIAA0125,PIK3IP1,HCLS1,DDIT4,CDH3,RAB37,CLEC14A,PALLD,CAPN2,SAXO2
PLPP5,CD163,GKN2,TMC5,FCER2,GZMM,LILRA5,GPX1,TPBG,STAP1,ECSCR.1,ADAMTS1,COL4A2,EFCAB1
IGHV3-23,CTSZ,MSMO1,SFTA1P,FCRL2,CD8A,SAMSN1,ENTPD1,CALD1,KCNH2,HYAL2,DKK3,CD151,CFAP53
TXNDC15,CSTA,TM4SF1,NEDD4L,EBF1,HLA-E,CSTA,FAM49B,CLCA2,CTTNBP2,SPARC,PDGFRA,SDC1,CCDC17
TXNDC5,SLC11A1,ADGRF5,ANKRD36C,LINC01215,TNFRSF18,FAM26F,ACTB,TRIM29,TPSG1,SDPR,COX7A1,CST6,SLC44A4
PDK1,RP11-1143G9.4,SPTSSA,MUC4,FAM129C,LAT,PRELID1,ARHGDIB,LBH,ADAM12,RAMP3,LTBP4,COL8A1,STK33
KIAA0125,PLIN2,TTN,LTF,P2RY10,ITM2A,GLIPR1,C10orf54,GOLGA8A,TMEM44,ADIRF,FBN1,TNFRSF12A,SPATA18
CD38,CYBA,HMGCS1,SCNN1B,NCR3,CD69,SH3BGRL3,GLIPR1,FBXO32,NTM,NPDC1,WISP2,SDPR,ZMYND10
SPAG4,HLA-DPA1,RNF145,AKR1C1,CNR2,SYTL3,GMFG,PAK1,GPX2,ARHGEF6,C7,COL4A1,SEMA3B,CHST9
HIST1H2BG,CSTB,NNMT,CD24,IGHA1,B2M,LGALS1,ITGB2,FAT1,CLU,IFITM2,MT1A,LIMCH1,BBOF1
IL16,CTSS,KRT18,MET,CD37,ICAM3,CPVL,GAPDH,SOX2,LCN6,IGFBP3,LMCD1,SFTA1P,LDLRAD1
MEI1,TFRC,LDLR,KIAA1324,FCRL5,GIMAP4,LIMD2,RUNX3,LAMA5,KIAA1549,VAMP5,LTBP1,ANKRD29,IGFBP7
AL928768.3,SPI1,FGG,LMO3,RPLP2,TRAF3IP3,HMGB2,F13A1,LGALS7,SEMA7A,HLA-E,AKAP12,MSLN,ELF3
TP53INP1,TREM1,NGFRAP1,SCNN1A,IGKC,BATF,LGALS2,Mar-01,FMO2,LAT,PCDH17,FXYD1,CADM1,KIF9
CD79B,HLA-DRB5,SELENBP1,SMIM22,RPL23A,TBC1D10C,CLEC4E,LPAR6,RPL41,RAC2,LDB2,AOC3,MYO1B,TCTEX1D2
