# Description: Public SysCilia Gold Standard Version 1
# Authors: TJP van Dam, G Wheway, GG Slaats, SYSCILIA Study Group, MA Huynen, RH Giles
# Date: 2013-05-22
# Version: 1.0 (GS version 4.0)
# Ensembl version: 71
# Note: First official PUBLIC release version of the SysCilia Gold Standard. Published in the Cilia journal
# Column 1: ensembl gene id
# Column 2: gene name
# Column 3: gene description from ensembl
# Column 4: Curator's note, describes reason for including the gene in the gold standard.
# Column 5: evidence for ciliary involvement as pubmed ids
# Column 6: ciliome studies that report this gene
# Column 7: Cellular and ciliary localisation of the protein
## ensembl_gene_id	ensembl_gene_symbol	ensembl_gene_desc	scgs_note	scgs_pubmed	scgs_ciliomes	scgs_localisation
ENSG00000138031	ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:234]	Localized to the plasma membrane of neuronal cilia PMID: 17924533, PMID: 23392690	PMID:17924533, PMID:23392690	Mayer et al. 2009	Ciliary Membrane
ENSG00000135541	AHI1	Abelson helper integration site 1 [Source:HGNC Symbol;Acc:21575]	Mutated in Joubert syndrome (type 3) OMIM 608894, PMID:16453322. At mother centriole/basal body. Interacts with B9 complex of transition zone proteins including B9D1, B9D2, MKS1, TCTN1, TCTN2 PMID:22179047. Role in RAB8-dependent ciliary membrane targeting PMID:19625297.	PMID:16453322 PMID:22179047 PMID:19625297	Liu et al. 2007	Basal Body
ENSG00000140057	AK7	adenylate kinase 7 [Source:HGNC Symbol;Acc:20091]	Ultrastructural defects in 9+2 cilia, leading to PCD phenotype in mutant mice PMID:18776131. Role in ATP production to power ciliary beating. Reduced expression levels in PCD patients PMID:20537283. 1 single possibly pathogenic variant found in AK7 in 1 PCD patient PMID: 22801010	PMID:18776131 PMID:20537283 PMID:22801010	Arnaiz et al. 2009, Arnaiz et al. 2010, Broadhead et al. 2006, Ostrowski et al. 2002, Ross et al. 2007, Smith et al. 2005, Stubbs et al. 2008	No data
ENSG00000165695	AK8	adenylate kinase 8 [Source:HGNC Symbol;Acc:26526]	Hydrocephalus due to dysfunctional motile cilia in KO mouse PMID: 21746835	PMID:21746835	Arnaiz et al. 2009, Arnaiz et al. 2010, Broadhead et al. 2006, Ostrowski et al. 2002, Smith et al. 2005, Stubbs et al. 2008	
ENSG00000116127	ALMS1	Alstrom syndrome 1 [Source:HGNC Symbol;Acc:428]	Mutated in Alstrom syndrome (type 1) OMIM 606844, PMID: 11941369, PMID: 11941370. Also mutated in 1 LCA family PMID:21901789. siRNA knockdown leads to shortened cilia and inability of cilia to respond to mechanical stimuli PMID:17206865.	PMID: 11941369, PMID: 11941370, PMID:15855349, PMID:21901789, PMID:17206865	Andersen et al. 2003, Liu et al. 2007, Nogales-Cadenas et al. 2006, Ross et al. 2007	Basal Body, Cilium
ENSG00000168374	ARF4	ADP-ribosylation factor 4 [Source:HGNC Symbol;Acc:655]	Involved in ciliary targeting of rhodopsin and other proteins with VxPx motif. PMID:19153612. Targets proteins to cilia in association with ASAP1, RAB11 and RAB8 PMID:22983554.	PMID:19153612, PMID:22983554	Arnaiz et al. 2009, Liu et al. 2007	Trans-Golgi Network
ENSG00000169379	ARL13B	ADP-ribosylation factor-like 13B [Source:HGNC Symbol;Acc:25419]	Mutated in Joubert Syndrome (type 8) OMIM 608922, PMID: 18674751. In proximal ciliary membrane PMID:20231383. Role in IFT  and therefore ciliogenesis PMID:20530210. Necessary for normal Shh PMID:21976698 and INPP5E signalling PMID:23150559 and normal expression of Nodal and Cerl2 PMID:22554696. 	PMID:18674751, PMID:20231383, PMID:20530210, PMID:21976698, PMID: 23150559, PMID:22554696 	Blacque et al. 2005, Broadhead et al. 2006, Efimenko et al. 2005, Liu et al. 2007, Merchant et al. 2007, Ross et al. 2007	Basal Body, Cytosol
ENSG00000138175	ARL3	ADP-ribosylation factor-like 3 [Source:HGNC Symbol;Acc:694]	interactor of RP2 PMID: 12417528 and PDEdelta PMID:10518933. Involved in trafficking of vesicles from the Golgi to the cilium PMID:20106869, especially; farnesylated cargo PMID:22002721 in association with PDEdelta and RPGR PMID:23559067; and myristoylated cargo in association with UNC119 and RP2 PMID:22085962	PMID:12417528, PMID:10518933, PMID:20106869, PMID:22002721, PMID:23559067, PMID:22085962	Arnaiz et al. 2009, Avidor-Reiss et al. 2004, Blacque et al. 2005, Chen et al. 2006, Efimenko et al. 2005, Liu et al. 2007, Merchant et al. 2007, Pazour et al. 2005	Cytosol
ENSG00000113966	ARL6	ADP-ribosylation factor-like 6 [Source:HGNC Symbol;Acc:13210]	Mutated in Bardet-Biedl syndrome (type 3) and retinitis pigmentosa (type 55) OMIM 608845, PMID:19956407, PMID:15314642. At the ciliary gate, regulates Wnt signalling PMID:20207729. Functions with BBSome to coat proteins for trafficking to the cilium PMID:20603001	PMID:19956407, PMID:15314642, PMID:20207729, PMID:20603001	Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Blacque et al. 2005, Liu et al. 2007, Merchant et al. 2007, Pazour et al. 2005, Ross et al. 2007, Stolc et al. 2005	Basal Body, Cilium, Cytosol, Transition Zone
ENSG00000153317	ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:2720]	Targets proteins, such as rhodopsin and  polycystin-1, to cilia in association with ARF4, RAB11 and RAB8 PMID:19153612, PMID:21775626. Provides a platform to regulate Arf4- and Rab11-Rab8-mediated ciliary cargo trafficking PMID:22983554 	PMID: 19153612, PMID:21775626, PMID:22983554	Liu et al. 2007	Trans-Golgi Network
ENSG00000130638	ATXN10	ataxin 10 [Source:HGNC Symbol;Acc:10549]	Mutated in 1 NPHP family (splice-site mutation). Forms complex with NPHP5 and 6 at the basal body PMID: 21565611	PMID:21565611	Liu et al. 2007, Ross et al. 2007	No data
