"Ensembl Gene ID","Associated Gene Name","Description","CiliaCarta Rank","CiliaCarta Score","Inclusion criterionAllGold StandardPredictedGene Ontology"
"ENSG00000032742","IFT88","intraflagellar transport 88 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:20606]","1","11.69564737","Gene Ontology, Gold Standard"
"ENSG00000114446","IFT57","intraflagellar transport 57 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:17367]","2","11.69564737","Gene Ontology, Gold Standard"
"ENSG00000198211","TUBB3","tubulin, beta 3 class III [Source:HGNC Symbol;Acc:20772]","3","10.00376966","Gold Standard"
"ENSG00000204104","TRAF3IP1","TNF receptor-associated factor 3 interacting protein 1 [Source:HGNC Symbol;Acc:17861]","4","9.787080742","Gene Ontology, Gold Standard"
"ENSG00000196659","TTC30B","tetratricopeptide repeat domain 30B [Source:HGNC Symbol;Acc:26425]","5","9.638345362","Gene Ontology, Gold Standard"
"ENSG00000197557","TTC30A","tetratricopeptide repeat domain 30A [Source:HGNC Symbol;Acc:25853]","6","9.638345362","Gene Ontology, Gold Standard"
"ENSG00000138002","IFT172","intraflagellar transport 172 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:30391]","7","9.28676805","Gene Ontology, Gold Standard"
"ENSG00000118096","IFT46","intraflagellar transport 46 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:26146]","8","8.521043848","Gene Ontology, Gold Standard"
"ENSG00000122970","IFT81","intraflagellar transport 81 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:14313]","9","8.372308468","Gene Ontology, Gold Standard"
"ENSG00000113966","ARL6","ADP-ribosylation factor-like 6 [Source:HGNC Symbol;Acc:13210]","10","7.947168566","Gene Ontology, Gold Standard"
"ENSG00000078674","PCM1","pericentriolar material 1 [Source:HGNC Symbol;Acc:8727]","11","7.880138316","Gene Ontology, Gold Standard"
"ENSG00000090273","NUDC","nuclear distribution C homolog (A. nidulans) [Source:HGNC Symbol;Acc:8045]","12","7.514714013","Predicted"
"ENSG00000169379","ARL13B","ADP-ribosylation factor-like 13B [Source:HGNC Symbol;Acc:25419]","13","7.514714013","Gene Ontology, Gold Standard"
"ENSG00000007174","DNAH9","dynein, axonemal, heavy chain 9 [Source:HGNC Symbol;Acc:2953]","14","7.475605752","Predicted, Gene Ontology"
"ENSG00000139537","CCDC65","coiled-coil domain containing 65 [Source:HGNC Symbol;Acc:29937]","15","7.475605752","Predicted, Gene Ontology"
"ENSG00000154099","DNAAF1","dynein, axonemal, assembly factor 1 [Source:HGNC Symbol;Acc:30539]","16","7.475605752","Gene Ontology, Gold Standard"
"ENSG00000166596","WDR16","WD repeat domain 16 [Source:HGNC Symbol;Acc:16053]","17","7.475605752","Predicted"
"ENSG00000168589","DYNLRB2","dynein, light chain, roadblock-type 2 [Source:HGNC Symbol;Acc:15467]","18","7.475605752","Predicted, Gene Ontology"
"ENSG00000171595","DNAI2","dynein, axonemal, intermediate chain 2 [Source:HGNC Symbol;Acc:18744]","19","7.475605752","Gene Ontology, Gold Standard"
"ENSG00000213085","CCDC19","coiled-coil domain containing 19 [Source:HGNC Symbol;Acc:17229]","20","7.475605752","Predicted, Gene Ontology"
"ENSG00000123810","B9D2","B9 protein domain 2 [Source:HGNC Symbol;Acc:28636]","21","7.421158515","Gene Ontology, Gold Standard"
"ENSG00000138036","DYNC2LI1","dynein, cytoplasmic 2, light intermediate chain 1 [Source:HGNC Symbol;Acc:24595]","22","7.421158515","Predicted, Gene Ontology"
"ENSG00000147400","CETN2","centrin, EF-hand protein, 2 [Source:HGNC Symbol;Acc:1867]","23","7.378201422","Predicted, Gene Ontology"
"ENSG00000164953","TMEM67","transmembrane protein 67 [Source:HGNC Symbol;Acc:28396]","24","7.368811024","Gene Ontology, Gold Standard"
"ENSG00000118965","WDR35","WD repeat domain 35 [Source:HGNC Symbol;Acc:29250]","25","7.272423135","Gene Ontology, Gold Standard"
"ENSG00000131437","KIF3A","kinesin family member 3A [Source:HGNC Symbol;Acc:6319]","26","7.272423135","Gene Ontology, Gold Standard"
"ENSG00000143156","NME7","NME/NM23 family member 7 [Source:HGNC Symbol;Acc:20461]","27","7.272423135","Gold Standard"
"ENSG00000163913","IFT122","intraflagellar transport 122 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:13556]","28","7.272423135","Gene Ontology, Gold Standard"
"ENSG00000187240","DYNC2H1","dynein, cytoplasmic 2, heavy chain 1 [Source:HGNC Symbol;Acc:2962]","29","7.272423135","Gene Ontology, Gold Standard"
"ENSG00000048342","CC2D2A","coiled-coil and C2 domain containing 2A [Source:HGNC Symbol;Acc:29253]","30","7.229466043","Gene Ontology, Gold Standard"
"ENSG00000100360","IFT27","intraflagellar transport 27 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:18626]","31","7.229466043","Gene Ontology, Gold Standard"
"ENSG00000103351","CLUAP1","clusterin associated protein 1 [Source:HGNC Symbol;Acc:19009]","32","7.229466043","Gene Ontology, Gold Standard"
"ENSG00000105948","TTC26","tetratricopeptide repeat domain 26 [Source:HGNC Symbol;Acc:21882]","33","7.229466043","Gene Ontology, Gold Standard"
"ENSG00000157796","WDR19","WD repeat domain 19 [Source:HGNC Symbol;Acc:18340]","34","7.229466043","Gene Ontology, Gold Standard"
"ENSG00000188229","TUBB4B","tubulin, beta 4B class IVb [Source:HGNC Symbol;Acc:20771]","35","7.229466043","Predicted, Gene Ontology"
"ENSG00000089091","DZANK1","double zinc ribbon and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:15858]","36","7.1631367","Predicted"
"ENSG00000066185","ZMYND12","zinc finger, MYND-type containing 12 [Source:HGNC Symbol;Acc:21192]","37","7.0431512","Predicted"
"ENSG00000089101","C20orf26","chromosome 20 open reading frame 26 [Source:HGNC Symbol;Acc:15872]","38","7.0431512","Predicted, Gene Ontology"
"ENSG00000112530","PACRG","PARK2 co-regulated [Source:HGNC Symbol;Acc:19152]","39","7.0431512","Gene Ontology, Gold Standard"
"ENSG00000122735","DNAI1","dynein, axonemal, intermediate chain 1 [Source:HGNC Symbol;Acc:2954]","41","7.0431512","Gene Ontology, Gold Standard"
"ENSG00000129295","LRRC6","leucine rich repeat containing 6 [Source:HGNC Symbol;Acc:16725]","42","7.0431512","Gene Ontology, Gold Standard"
"ENSG00000158023","WDR66","WD repeat domain 66 [Source:HGNC Symbol;Acc:28506]","43","7.0431512","Predicted, Gene Ontology"
"ENSG00000158423","RIBC1","RIB43A domain with coiled-coils 1 [Source:HGNC Symbol;Acc:26537]","44","7.0431512","Predicted"
